timestamp,m1_pos,m1_vel,m1_torque,m2_pos,m2_vel,m2_torque,ch6_max,ch7_max,ch6_new,ch7_new,m1_label,m2_label
9,-8.777431,-0.245437,0.0,18.847624,0.122718,0.003906,3.949806,3.098063,1.0,1.0,0,0
10,-8.777431,-0.024544,0.0,18.847624,0.024544,0.003906,3.949806,3.098063,1.0,1.0,0,0
12,-8.777623,-0.368155,0.0,18.847624,0.196349,0.0,3.949806,3.098063,1.0,1.0,0,0
14,-8.777239,0.196349,-0.003906,18.847431,-0.319068,0.003906,3.949806,3.098063,1.0,1.0,0,0
16,-8.777623,-0.589048,0.0,18.847624,0.073631,0.0,3.949806,3.098063,1.0,1.0,0,0
18,-8.777239,0.122718,0.0,18.847624,0.122718,0.0,3.949806,3.098063,1.0,1.0,0,0
20,-8.777431,-0.245437,0.0,18.847624,0.122718,-0.003906,3.949806,3.098063,1.0,1.0,0,0
22,-8.777047,-0.392699,0.0,18.847624,0.024544,0.0,3.949806,3.098063,1.0,1.0,0,0
24,-8.777239,-0.049087,0.0,18.847624,0.073631,0.0,3.949806,3.098063,1.0,1.0,0,0
26,-8.777239,-0.098175,0.0,18.847624,0.024544,0.0,3.949806,3.098063,1.0,1.0,0,0
27,-8.777239,-0.024544,0.0,18.847815,0.319068,0.0,3.949806,3.098063,1.0,1.0,0,0
30,-8.777239,-0.098175,0.0,18.847624,-0.024544,0.0,3.949806,3.098063,1.0,1.0,0,0
32,-8.777239,0.220893,0.0,18.847624,0.0,0.0,3.949806,3.098063,1.0,1.0,0,0
34,-8.777239,-0.319068,0.0,18.847624,0.392699,0.0,3.949806,3.098063,1.0,1.0,0,0
35,-8.777047,0.073631,0.0,18.847624,0.073631,0.0,3.949806,3.098063,1.0,1.0,0,0
37,-8.777239,-0.245437,0.0,18.847815,0.392699,0.0,3.949806,3.098063,1.0,1.0,0,0
40,-8.777047,-0.171806,0.0,18.847624,0.122718,0.0,3.949806,3.098063,1.0,1.0,0,0
41,-8.777239,-0.343611,0.0,18.847815,0.490873,0.0,3.949806,3.098063,1.0,1.0,0,0
43,-8.777047,-0.024544,0.0,18.847624,0.098175,0.0,3.949806,3.098063,1.0,1.0,0,0
45,-8.777047,0.049087,0.0,18.847624,0.0,0.0,3.949806,3.098063,1.0,1.0,0,0
46,-8.777047,0.073631,0.0,18.847431,-0.294524,0.0,3.949806,3.098063,1.0,1.0,0,0
49,-8.777047,0.024544,0.0,18.847624,0.024544,0.0,3.949806,3.098063,1.0,1.0,0,0
51,-8.777239,-0.245437,0.0,18.847815,0.392699,0.003906,3.949806,3.098063,1.0,1.0,0,0
53,-8.777047,-0.049087,0.0,18.847624,0.073631,0.0,3.949806,3.098063,1.0,1.0,0,0
54,-8.777047,0.0,0.0,18.847624,0.0,0.003906,3.949806,3.098063,1.0,1.0,0,0
57,-8.777239,-0.319068,0.0,18.847815,0.26998,0.0,3.949806,3.098063,1.0,1.0,0,0
58,-8.777047,0.073631,0.0,18.847624,0.0,0.0,3.96,3.098063,1.0,1.0,0,0
60,-8.777047,0.0,0.0,18.847815,0.245437,0.0,3.949806,3.098063,1.0,1.0,0,0
61,-8.777047,0.0,0.003906,18.847815,0.294524,0.0,3.949806,3.098063,1.0,1.0,0,0
64,-8.777047,0.122718,0.0,18.847815,0.245437,0.0,3.949806,3.098063,1.0,1.0,0,0
65,-8.777239,-0.368155,0.0,18.847815,0.024544,0.0,3.949806,3.098063,1.0,1.0,0,0
68,-8.777047,0.147262,0.0,18.848007,0.368155,0.0,3.949806,3.098063,1.0,1.0,0,0
70,-8.777239,-0.26998,0.0,18.847815,0.417242,0.0,3.949806,3.098063,1.0,1.0,0,0
72,-8.777047,0.0,0.0,18.847815,0.049087,0.0,3.949806,3.098063,1.0,1.0,0,0
73,-8.777239,-0.245437,0.0,18.847815,0.0,0.0,3.949806,3.098063,1.0,1.0,0,0
