timestamp,m1_pos,m1_vel,m1_torque,m2_pos,m2_vel,m2_torque,ch6_max,ch7_max,m1_ai_label,m2_ai_label
10,-11.864757,0.196349,-0.003906,23.541985,0.171806,0.0,1.254412,0.422037,0.0,0.0
14,-11.864948,-0.049087,0.0,23.541985,-0.049087,0.003906,1.254412,0.422037,0.0,0.0
17,-11.86514,-0.417242,0.0,23.542368,0.368155,0.0,1.254412,0.422037,0.0,0.0
20,-11.86514,-0.245437,0.0,23.542942,0.171806,0.0,1.254412,0.422037,0.0,0.0
25,-11.86514,-0.245437,0.0,23.543901,0.539961,0.003906,1.254412,0.422037,0.0,0.0
27,-11.86514,-0.196349,-0.003906,23.544477,-0.098175,0.0,1.254412,0.422037,0.0,0.0
29,-11.86514,-0.171806,0.0,23.545818,0.196349,0.0,1.254412,0.422037,0.0,0.0
31,-11.865332,-0.441786,0.003906,23.548695,0.417242,0.0,1.254412,0.422037,0.0,0.0
34,-11.86514,0.0,-0.003906,23.555214,1.423533,0.0,1.254412,0.422037,0.0,0.0
36,-11.865332,-0.368155,0.003906,23.562885,1.227184,0.0,1.254412,0.422037,0.0,0.0
39,-11.865332,-0.245437,0.007812,23.568254,1.030834,0.0,1.254412,0.422037,0.0,0.0
41,-11.86514,0.343611,-0.003906,23.571129,0.760854,0.0,1.254412,0.422037,0.0,0.0
43,-11.865523,-0.147262,0.003906,23.576881,1.497164,-0.007812,1.254412,0.422037,0.0,0.0
45,-11.865523,0.0,0.0,23.587812,1.325358,0.003906,1.254412,0.422037,0.0,0.0
48,-11.865523,0.024544,0.0,23.596825,0.613592,0.0,1.254412,0.422037,0.0,0.0
50,-11.865715,-0.220893,0.0,23.604301,1.300815,0.0,1.254412,0.422037,0.0,0.0
51,-11.865907,-0.368155,0.003906,23.614464,1.153553,0.0,1.254412,0.422037,0.0,0.0
53,-11.866098,-0.147262,0.003906,23.619259,0.122718,0.0,1.254412,0.422037,0.0,0.0
55,-11.865907,0.147262,0.003906,23.621943,0.859029,0.0,1.254412,0.422037,0.0,0.0
57,-11.865907,0.0,0.0,23.625202,0.711766,0.0,1.254412,0.422037,0.0,0.0
59,-11.865907,0.147262,-0.003906,23.632488,1.20264,-0.003906,1.254412,0.422037,0.0,0.0
61,-11.865907,0.0,-0.003906,23.639776,1.030834,0.0,1.254412,0.422037,0.0,0.0
63,-11.865907,0.122718,0.003906,23.6415,-0.073631,0.003906,1.254412,0.422037,0.0,0.0
64,-11.866098,0.049087,0.0,23.6415,-0.098175,0.003906,1.254412,0.422037,0.0,0.0
67,-11.866483,-0.196349,0.0,23.6415,0.220893,0.003906,1.254412,0.422037,0.0,0.0
69,-11.866674,-0.196349,0.0,23.6415,-0.122718,0.0,1.254412,0.422037,0.0,0.0
72,-11.866483,0.122718,-0.003906,23.6415,0.049087,0.0,1.254412,0.422037,0.0,0.0
74,-11.866483,0.098175,0.0,23.64131,-0.319068,0.0,1.254412,0.422037,0.0,0.0
76,-11.866483,0.073631,0.0,23.6415,0.171806,0.0,1.254412,0.422037,0.0,0.0
77,-11.866674,-0.294524,-0.003906,23.6415,0.196349,0.0,1.254412,0.422037,0.0,0.0
80,-11.866674,-0.122718,0.0,23.6415,0.245437,0.0,1.254412,0.422037,0.0,0.0
81,-11.866674,-0.245437,0.0,23.641693,0.613592,0.0,1.254412,0.422037,0.0,0.0
84,-11.866674,-0.122718,0.0,23.6415,0.245437,0.0,1.254412,0.422037,0.0,0.0
85,-11.866866,-0.171806,0.0,23.6415,0.0,0.003906,1.254412,0.422037,0.0,0.0
88,-11.867058,-0.294524,0.003906,23.641693,0.196349,0.0,1.254412,0.422037,0.0,0.0
90,-11.867249,0.343611,0.0,23.6415,-0.171806,0.0,1.254412,0.422037,0.0,0.0
92,-11.871276,-0.589048,0.0,23.641884,0.392699,0.0,1.254412,0.422037,0.0,0.0
93,-11.878562,-1.055378,0.003906,23.6415,-0.073631,0.0,1.254412,0.422037,0.0,0.0
95,-11.88815,-1.055378,-0.003906,23.641693,0.343611,0.0,1.254412,0.422037,0.0,0.0
98,-11.892943,0.049087,-0.003906,23.641693,0.294524,0.0,1.254412,0.422037,0.0,0.0
99,-11.89371,-0.245437,0.0,23.6415,-0.098175,0.0,1.254412,0.422037,0.0,0.0
101,-11.893902,-0.098175,0.0,23.641693,0.245437,0.0,1.254412,0.422037,0.0,0.0
102,-11.89467,-0.147262,0.003906,23.6415,-0.122718,0.0,1.254412,0.422037,0.0,0.0
105,-11.896778,-0.613592,0.003906,23.64131,-0.343611,0.003906,1.254412,0.422037,0.0,0.0
107,-11.900229,-0.589048,0.0,23.64131,-0.171806,0.0,1.254412,0.422037,0.0,0.0
108,-11.906941,-1.129009,0.003906,23.64131,-0.098175,0.0,1.254412,0.422037,0.0,0.0
111,-11.915378,-0.957203,0.0,23.64131,0.245437,0.0,1.254412,0.422037,0.0,0.0
113,-11.92113,-0.883572,0.0,23.64131,-0.122718,0.0,1.254412,0.422037,0.0,0.0
114,-11.926308,-0.589048,0.0,23.6415,0.245437,0.0,1.254412,0.422037,0.0,0.0
116,-11.938004,-1.816232,0.003906,23.6415,0.171806,0.0,1.254412,0.422037,0.0,0.0
118,-11.955836,-2.380736,0.0,23.6415,0.220893,0.0,1.254412,0.422037,0.0,0.0
119,-11.978847,-3.33794,0.0,23.6415,0.171806,0.0,1.254412,0.422037,0.0,0.0
122,-12.008375,-3.681551,0.003906,23.64131,-0.343611,-0.003906,1.254412,0.422037,0.0,0.0
124,-12.042123,-3.8779,0.0,23.641693,0.26998,0.0,1.254412,0.422037,0.0,0.0
125,-12.073378,-3.583376,0.003906,23.641693,0.220893,-0.003906,1.254412,0.422037,0.0,0.0
127,-12.096196,-2.503455,-0.003906,23.642076,0.441786,0.0,1.254412,0.422037,0.0,0.0
129,-12.115754,-2.40528,0.007812,23.642267,0.343611,0.003906,1.254412,0.422037,0.0,0.0
